"yearbuilt","finsqft","cooling","bedroom","fullbath","halfbath","lotsize","totalvalue","esdistrict","msdistrict","hsdistrict","censustract","age","condition","fp"
1986,1184,"Central Air",2,2,0,229.84,260100,"Crozet","Henley","Western Albemarle","101",33,"Average",0
1904,1335,"No Central Air",3,1,0,288.139,1114800,"Crozet","Henley","Western Albemarle","101",115,"Average",0
1940,812,"Central Air",2,0,0,0.25,48500,"Crozet","Henley","Western Albemarle","101",79,"Fair",0
1984,4140,"Central Air",3,2,1,21.232,790200,"Broadus Wood","Jouett","Albemarle","101",35,"Average",1
2017,2993,"Central Air",2,3,0,5.95,586200,"Broadus Wood","Jouett","Albemarle","101",2,"Average",0
1983,1060,"No Central Air",2,0,0,10,173200,"Meriwether Lewis","Henley","Western Albemarle","101",36,"Average",0
1801,1050,"No Central Air",2,2,0,15,366300,"Meriwether Lewis","Henley","Western Albemarle","101",218,"Average",1
1977,1472,"No Central Air",3,2,0,5.82,224000,"Meriwether Lewis","Henley","Western Albemarle","101",42,"Average",1
1920,1716,"Central Air",3,2,0,119.93,284500,"Meriwether Lewis","Henley","Western Albemarle","101",99,"Average",1
1920,1760,"No Central Air",3,1,0,14.44,284900,"Broadus Wood","Jouett","Albemarle","101",99,"Average",0
1915,1520,"Central Air",3,1,0,16.75,334700,"Broadus Wood","Jouett","Albemarle","101",104,"Average",1
1991,1400,"Central Air",3,1,1,6.08,274000,"Broadus Wood","Jouett","Albemarle","101",28,"Average",0
1800,1872,"No Central Air",3,1,0,18.11,281500,"Broadus Wood","Jouett","Albemarle","101",219,"Fair",0
1952,835,"No Central Air",2,1,0,1.024,96900,"Broadus Wood","Jouett","Albemarle","101",67,"Average",0
1974,1368,"No Central Air",3,1,0,5.39,234700,"Broadus Wood","Jouett","Albemarle","101",45,"Average",0
2005,2248,"Central Air",2,2,0,40.31,479200,"Broadus Wood","Jouett","Albemarle","101",14,"Average",1
2018,1456,"Central Air",3,2,0,3,284300,"Broadus Wood","Jouett","Albemarle","101",1,"Average",0
2018,2832,"Central Air",4,4,1,57.756,965600,"Broadus Wood","Jouett","Albemarle","101",1,"Average",1
1986,1000,"No Central Air",4,1,1,2.1,183900,"Broadus Wood","Jouett","Albemarle","101",33,"Average",0
1930,1030,"Central Air",3,1,0,2.904,137300,"Broadus Wood","Jouett","Albemarle","101",89,"Average",0
1998,2275,"Central Air",3,2,0,33.256,438600,"Broadus Wood","Jouett","Albemarle","101",21,"Average",0
1985,1453,"Central Air",3,2,0,76.84,857200,"Broadus Wood","Jouett","Albemarle","101",34,"Average",0
1930,856,"No Central Air",2,1,0,61.6,88100,"Broadus Wood","Jouett","Albemarle","101",89,"Fair",0
1910,1739,"No Central Air",4,1,0,121.77,123700,"Meriwether Lewis","Henley","Western Albemarle","101",109,"Substandard",0
1920,1598,"No Central Air",2,1,0,17.45,213400,"Meriwether Lewis","Henley","Western Albemarle","101",99,"Substandard",0
1886,1861,"No Central Air",4,1,0,3.88,166000,"Meriwether Lewis","Henley","Western Albemarle","101",133,"Fair",1
1960,1152,"No Central Air",2,1,0,5,196700,"Meriwether Lewis","Henley","Western Albemarle","101",59,"Average",0
1995,3320,"Central Air",3,2,1,28.423,782600,"Meriwether Lewis","Henley","Western Albemarle","101",24,"Average",1
1950,904,"No Central Air",3,0,0,228.14,128100,"Meriwether Lewis","Henley","Western Albemarle","101",69,"Substandard",1
1980,2380,"No Central Air",2,2,0,13.702,332600,"Meriwether Lewis","Henley","Western Albemarle","101",39,"Average",1
1907,2872,"Central Air",4,3,1,96.09,607000,"Meriwether Lewis","Henley","Western Albemarle","101",112,"Excellent",1
1982,1754,"No Central Air",5,2,0,56.31,1184500,"Meriwether Lewis","Henley","Western Albemarle","101",37,"Average",1
2006,2684,"Central Air",3,3,0,25,607000,"Meriwether Lewis","Henley","Western Albemarle","101",13,"Average",0
1991,1480,"Central Air",4,4,0,14.75,494200,"Meriwether Lewis","Henley","Western Albemarle","101",28,"Average",1
2018,2070,"Central Air",3,3,0,5.1,366100,"Meriwether Lewis","Henley","Western Albemarle","101",1,"Average",0
1996,1482,"Central Air",3,2,0,5.1,235500,"Meriwether Lewis","Henley","Western Albemarle","101",23,"Average",0
1856,4768,"Central Air",2,1,1,83.02,1015400,"Meriwether Lewis","Henley","Western Albemarle","101",163,"Average",1
1910,1108,"No Central Air",3,1,0,8.838,168600,"Meriwether Lewis","Henley","Western Albemarle","101",109,"Fair",0
1954,1092,"No Central Air",4,1,0,5.8,179800,"Meriwether Lewis","Henley","Western Albemarle","101",65,"Average",0
1987,1344,"Central Air",3,2,0,2.344,240300,"Meriwether Lewis","Henley","Western Albemarle","101",32,"Average",0
1988,2389,"No Central Air",3,3,0,2.163,263700,"Meriwether Lewis","Henley","Western Albemarle","101",31,"Average",0
1989,2088,"Central Air",3,2,0,42.862,487800,"Meriwether Lewis","Henley","Western Albemarle","101",30,"Average",1
1990,864,"No Central Air",3,1,0,5.62,238300,"Meriwether Lewis","Henley","Western Albemarle","101",29,"Good",0
1968,1064,"Central Air",3,1,0,3.008,182000,"Meriwether Lewis","Henley","Western Albemarle","101",51,"Average",1
1920,2131,"No Central Air",5,2,0,35.1,429300,"Meriwether Lewis","Henley","Western Albemarle","101",99,"Fair",0
1981,2357,"Central Air",3,2,0,15.7,461700,"Meriwether Lewis","Henley","Western Albemarle","101",38,"Average",1
1971,1545,"No Central Air",3,2,0,15.7,470500,"Meriwether Lewis","Henley","Western Albemarle","101",48,"Average",1
2001,1572,"Central Air",3,2,0,2,254000,"Meriwether Lewis","Henley","Western Albemarle","101",18,"Average",0
1906,990,"No Central Air",3,1,0,51.04,399700,"Broadus Wood","Jouett","Albemarle","101",113,"Average",0
1754,863,"No Central Air",0,0,0,13.525,165400,"Broadus Wood","Jouett","Albemarle","101",265,"Substandard",0
1964,1117,"No Central Air",3,2,0,4.834,204700,"Broadus Wood","Jouett","Albemarle","101",55,"Average",0
1975,1008,"No Central Air",3,2,0,23.5,419700,"Broadus Wood","Jouett","Albemarle","101",44,"Average",0
2004,2134,"Central Air",3,2,1,12.111,502700,"Broadus Wood","Jouett","Albemarle","101",15,"Average",1
1962,1071,"Central Air",3,1,0,2.812,239400,"Broadus Wood","Jouett","Albemarle","101",57,"Average",0
1967,1344,"Central Air",2,1,0,3.491,254500,"Broadus Wood","Jouett","Albemarle","101",52,"Average",0
2003,1384,"Central Air",1,1,1,5.501,405700,"Broadus Wood","Jouett","Albemarle","101",16,"Average",1
2013,1363,"Central Air",4,2,0,2.15,191300,"Broadus Wood","Jouett","Albemarle","101",6,"Average",0
1979,1467,"Central Air",3,2,0,10,338100,"Broadus Wood","Jouett","Albemarle","101",40,"Average",1
1964,1200,"No Central Air",4,2,0,6.899,255800,"Broadus Wood","Jouett","Albemarle","101",55,"Average",1
1977,1488,"No Central Air",3,2,0,5.517,253800,"Broadus Wood","Jouett","Albemarle","101",42,"Average",1
1977,1892,"Central Air",3,2,0,3,353100,"Broadus Wood","Jouett","Albemarle","101",42,"Average",1
1998,2458,"No Central Air",2,1,1,27.33,498300,"Broadus Wood","Jouett","Albemarle","101",21,"Average",0
1979,1589,"Central Air",3,2,0,5.879,330100,"Broadus Wood","Jouett","Albemarle","101",40,"Average",1
1979,1410,"Central Air",2,1,0,6.215,195200,"Broadus Wood","Jouett","Albemarle","101",40,"Good",0
2006,1620,"Central Air",3,2,1,7.436,304100,"Broadus Wood","Jouett","Albemarle","101",13,"Average",0
1940,832,"No Central Air",3,1,0,0.48,92800,"Broadus Wood","Jouett","Albemarle","101",79,"Poor",0
1960,834,"No Central Air",3,1,0,2.17,96800,"Broadus Wood","Jouett","Albemarle","101",59,"Average",0
1904,1822,"No Central Air",5,2,0,23.25,327200,"Broadus Wood","Jouett","Albemarle","101",115,"Fair",0
1950,1742,"Central Air",4,1,0,1.25,142900,"Broadus Wood","Jouett","Albemarle","101",69,"Fair",0
1900,1416,"No Central Air",3,1,0,32,439800,"Broadus Wood","Jouett","Albemarle","101",119,"Average",0
1920,1568,"Central Air",2,1,0,83.134,748300,"Broadus Wood","Jouett","Albemarle","101",99,"Average",0
2006,1406,"Central Air",2,2,0,26.13,659500,"Meriwether Lewis","Henley","Western Albemarle","101",13,"Average",1
1920,2593,"No Central Air",5,1,0,3.02,240000,"Meriwether Lewis","Henley","Western Albemarle","101",99,"Average",0
2016,2325,"Central Air",3,2,0,4.71,563300,"Meriwether Lewis","Henley","Western Albemarle","101",3,"Average",1
2010,2551,"Central Air",3,2,1,11.468,513700,"Meriwether Lewis","Henley","Western Albemarle","101",9,"Average",1
2007,2293,"Central Air",3,2,0,5,493900,"Meriwether Lewis","Henley","Western Albemarle","101",12,"Average",0
1978,1295,"Central Air",3,1,0,7.178,269600,"Broadus Wood","Jouett","Albemarle","101",41,"Average",0
1981,1405,"Central Air",4,2,0,4.425,271800,"Broadus Wood","Jouett","Albemarle","101",38,"Fair",1
1900,1936,"No Central Air",4,1,0,94.24,822200,"Broadus Wood","Jouett","Albemarle","101",119,"Poor",0
2004,2174,"Central Air",3,2,1,5.447,510400,"Broadus Wood","Jouett","Albemarle","101",15,"Average",1
1969,1800,"Central Air",7,3,1,43.43,626400,"Broadus Wood","Jouett","Albemarle","101",50,"Average",0
1890,1474,"Central Air",2,2,0,84.99,988300,"Broadus Wood","Jouett","Albemarle","101",129,"Average",1
1934,1190,"Central Air",3,1,0,56.193,607800,"Meriwether Lewis","Henley","Western Albemarle","101",85,"Average",0
1989,1100,"Central Air",3,2,0,4.774,257700,"Meriwether Lewis","Henley","Western Albemarle","101",30,"Average",0
1994,1104,"Central Air",2,1,1,4.569,234800,"Meriwether Lewis","Henley","Western Albemarle","101",25,"Average",0
1991,2802,"Central Air",4,3,2,28.06,804200,"Meriwether Lewis","Henley","Western Albemarle","101",28,"Good",1
1927,814,"No Central Air",2,0,0,79.25,570600,"Meriwether Lewis","Henley","Western Albemarle","101",92,"Poor",0
1997,4069,"Central Air",5,3,1,5.67,593900,"Meriwether Lewis","Henley","Western Albemarle","101",22,"Average",1
1969,2200,"Central Air",3,2,1,1.92,252900,"Meriwether Lewis","Henley","Western Albemarle","101",50,"Average",0
1955,896,"Central Air",3,2,0,3.07,79100,"Meriwether Lewis","Henley","Western Albemarle","101",64,"Poor",0
1930,1564,"No Central Air",3,2,0,3.9,208100,"Meriwether Lewis","Henley","Western Albemarle","101",89,"Average",0
1963,2149,"Central Air",3,3,0,0,578100,"Meriwether Lewis","Henley","Western Albemarle","101",56,"Average",1
1963,2149,"Central Air",3,3,0,5,367600,"Meriwether Lewis","Henley","Western Albemarle","101",56,"Average",1
2005,1222,"Central Air",1,1,0,6,287900,"Meriwether Lewis","Henley","Western Albemarle","101",14,"Average",0
2010,1943,"Central Air",3,2,1,8.21,365700,"Meriwether Lewis","Henley","Western Albemarle","101",9,"Average",1
1966,1162,"No Central Air",3,1,0,10.756,301900,"Meriwether Lewis","Henley","Western Albemarle","101",53,"Average",1
1810,4288,"Central Air",3,3,0,56,967500,"Meriwether Lewis","Henley","Western Albemarle","101",209,"Average",1
1910,1332,"No Central Air",3,1,0,38.99,526300,"Meriwether Lewis","Henley","Western Albemarle","101",109,"Average",1
1972,768,"No Central Air",2,1,0,21.367,299400,"Meriwether Lewis","Henley","Western Albemarle","101",47,"Average",0
1972,1248,"No Central Air",2,1,0,1.76,199300,"Meriwether Lewis","Henley","Western Albemarle","101",47,"Average",0
1972,1416,"No Central Air",3,2,0,3.95,251600,"Meriwether Lewis","Henley","Western Albemarle","101",47,"Average",0
1977,2556,"Central Air",4,3,0,25.04,831500,"Meriwether Lewis","Henley","Western Albemarle","101",42,"Average",1
1999,3084,"Central Air",3,3,1,16.34,974300,"Meriwether Lewis","Henley","Western Albemarle","101",20,"Good",1
1992,1648,"Central Air",3,2,0,7.195,363600,"Meriwether Lewis","Henley","Western Albemarle","101",27,"Average",1
1886,1784,"No Central Air",3,0,0,104.93,453600,"Meriwether Lewis","Henley","Western Albemarle","101",133,"Substandard",0
1986,1352,"Central Air",3,2,0,1.859,248100,"Meriwether Lewis","Henley","Western Albemarle","101",33,"Average",0
2005,4114,"Central Air",4,4,0,143.51,887400,"Broadus Wood","Jouett","Albemarle","101",14,"Average",1
2005,3124,"Central Air",4,3,1,174.39,1381400,"Broadus Wood","Jouett","Albemarle","101",14,"Average",1
1982,1918,"No Central Air",3,3,0,49.101,692600,"Broadus Wood","Jouett","Albemarle","101",37,"Average",1
1979,3438,"Central Air",4,3,0,87.656,658500,"Broadus Wood","Jouett","Albemarle","101",40,"Average",1
1891,1568,"No Central Air",3,1,1,27.5,345700,"Broadus Wood","Jouett","Albemarle","101",128,"Average",1
2014,1908,"Central Air",3,2,1,49.417,786300,"Broadus Wood","Jouett","Albemarle","101",5,"Average",1
1930,1136,"No Central Air",4,1,0,3.106,98500,"Broadus Wood","Jouett","Albemarle","101",89,"Fair",0
1960,720,"Central Air",3,2,0,2.971,185000,"Broadus Wood","Jouett","Albemarle","101",59,"Average",0
1969,748,"No Central Air",2,1,0,32.98,256400,"Broadus Wood","Jouett","Albemarle","101",50,"Average",1
1920,2960,"No Central Air",3,2,0,8.126,147100,"Broadus Wood","Jouett","Albemarle","101",99,"Substandard",0
1910,6048,"Central Air",4,4,2,4.4,329700,"Broadus Wood","Jouett","Albemarle","101",109,"Average",0
2006,2220,"Central Air",3,2,1,1.336,356500,"Broadus Wood","Jouett","Albemarle","101",13,"Average",0
1850,2264,"Central Air",4,2,0,5.5,175300,"Broadus Wood","Jouett","Albemarle","101",169,"Poor",1
1945,704,"No Central Air",2,1,0,12.123,220300,"Broadus Wood","Jouett","Albemarle","101",74,"Average",0
1895,1336,"No Central Air",2,1,0,1.548,170500,"Broadus Wood","Jouett","Albemarle","101",124,"Average",0
1942,1328,"No Central Air",2,1,0,2.097,157200,"Broadus Wood","Jouett","Albemarle","101",77,"Average",0
1995,1690,"Central Air",3,2,0,2.013,293600,"Broadus Wood","Jouett","Albemarle","101",24,"Average",1
2003,3483,"Central Air",3,2,1,33.98,722000,"Broadus Wood","Jouett","Albemarle","101",16,"Average",1
1950,988,"No Central Air",2,1,0,23.5,300300,"Broadus Wood","Jouett","Albemarle","101",69,"Average",0
2006,4662,"Central Air",5,5,1,3.5,696900,"Broadus Wood","Jouett","Albemarle","101",13,"Average",1
2006,2250,"Central Air",3,2,1,2.1,335800,"Broadus Wood","Jouett","Albemarle","101",13,"Average",0
1970,1080,"No Central Air",0,1,0,7.753,278500,"Broadus Wood","Jouett","Albemarle","101",49,"Average",0
1944,928,"No Central Air",2,1,0,2,107600,"Broadus Wood","Jouett","Albemarle","101",75,"Fair",0
2008,1996,"Central Air",3,2,1,4,368400,"Broadus Wood","Jouett","Albemarle","101",11,"Average",0
2013,2014,"Central Air",4,2,0,2.31,217300,"Broadus Wood","Jouett","Albemarle","101",6,"Average",1
1952,1629,"Central Air",3,1,0,3.23,228500,"Broadus Wood","Jouett","Albemarle","101",67,"Average",0
1952,1080,"No Central Air",3,1,0,2.156,137500,"Broadus Wood","Jouett","Albemarle","101",67,"Average",0
1975,1740,"No Central Air",3,2,0,13.878,342400,"Broadus Wood","Jouett","Albemarle","101",44,"Average",0
1985,1710,"No Central Air",2,2,0,10,345600,"Broadus Wood","Jouett","Albemarle","101",34,"Average",1
1985,1476,"Central Air",3,2,0,2,250200,"Broadus Wood","Jouett","Albemarle","101",34,"Average",1
1984,1344,"Central Air",2,1,1,2,249300,"Broadus Wood","Jouett","Albemarle","101",35,"Average",0
2005,4730,"Central Air",3,2,3,37.5,1016000,"Broadus Wood","Jouett","Albemarle","101",14,"Average",1
1913,2216,"No Central Air",4,1,0,71.2,672700,"Broadus Wood","Jouett","Albemarle","101",106,"Average",0
1985,1652,"Central Air",3,1,1,3.27,255200,"Broadus Wood","Jouett","Albemarle","101",34,"Average",0
2015,2184,"Central Air",4,3,0,21.21,507200,"Broadus Wood","Jouett","Albemarle","101",4,"Average",0
1979,1487,"No Central Air",3,2,0,7.284,273500,"Broadus Wood","Jouett","Albemarle","101",40,"Fair",1
1984,960,"No Central Air",3,1,0,2,153000,"Broadus Wood","Jouett","Albemarle","101",35,"Fair",0
1977,1160,"No Central Air",3,1,0,2.003,131700,"Broadus Wood","Jouett","Albemarle","101",42,"Average",0
1976,960,"No Central Air",3,1,0,2,127500,"Broadus Wood","Jouett","Albemarle","101",43,"Average",0
1978,960,"Central Air",3,2,0,2.005,124200,"Broadus Wood","Jouett","Albemarle","101",41,"Fair",0
1991,2144,"Central Air",3,2,1,3.409,299400,"Broadus Wood","Jouett","Albemarle","101",28,"Good",1
2004,1736,"Central Air",3,3,1,5,268300,"Broadus Wood","Jouett","Albemarle","101",15,"Average",1
2007,2240,"Central Air",4,2,1,5,294900,"Broadus Wood","Jouett","Albemarle","101",12,"Average",0
1932,838,"No Central Air",3,1,1,24.175,243100,"Broadus Wood","Jouett","Albemarle","101",87,"Average",0
2011,972,"Central Air",3,2,0,12.102,259100,"Broadus Wood","Jouett","Albemarle","101",8,"Average",0
2018,2314,"Central Air",3,3,0,2,487500,"Broadus Wood","Jouett","Albemarle","101",1,"Average",0
1977,1188,"No Central Air",3,1,0,2.006,232500,"Meriwether Lewis","Henley","Western Albemarle","101",42,"Average",1
1950,874,"No Central Air",2,1,0,3.66,181600,"Meriwether Lewis","Henley","Western Albemarle","101",69,"Average",0
1965,1380,"Central Air",3,1,0,0.92,185700,"Broadus Wood","Jouett","Albemarle","101",54,"Average",1
1975,1479,"No Central Air",3,1,1,1,232100,"Broadus Wood","Jouett","Albemarle","101",44,"Average",1
1956,896,"No Central Air",1,1,0,13.52,255200,"Broadus Wood","Jouett","Albemarle","101",63,"Fair",0
1978,1320,"No Central Air",3,2,0,10,309900,"Broadus Wood","Jouett","Albemarle","101",41,"Average",1
1962,1876,"Central Air",3,2,0,2,253800,"Broadus Wood","Jouett","Albemarle","101",57,"Average",1
1967,972,"No Central Air",3,1,0,66.23,583500,"Broadus Wood","Jouett","Albemarle","101",52,"Average",0
1969,1410,"No Central Air",2,1,0,1.81,191600,"Broadus Wood","Jouett","Albemarle","101",50,"Average",0
1983,1344,"Central Air",3,2,0,2,193300,"Broadus Wood","Jouett","Albemarle","101",36,"Average",0
1955,1092,"No Central Air",3,1,0,2,198700,"Broadus Wood","Jouett","Albemarle","101",64,"Average",1
2003,1792,"Central Air",3,2,0,6.56,388000,"Broadus Wood","Jouett","Albemarle","101",16,"Average",1
1900,2360,"No Central Air",2,0,0,70,1166300,"Broadus Wood","Jouett","Albemarle","101",119,"Substandard",1
1900,2360,"Central Air",2,1,0,67.64,777500,"Meriwether Lewis","Henley","Western Albemarle","101",119,"Good",1
1981,1879,"Central Air",3,2,0,16.423,357900,"Broadus Wood","Jouett","Albemarle","101",38,"Average",0
1957,1087,"No Central Air",4,2,0,2.05,252600,"Broadus Wood","Jouett","Albemarle","101",62,"Average",1
1969,1719,"No Central Air",2,2,0,3.59,331400,"Broadus Wood","Jouett","Albemarle","101",50,"Average",1
1987,2012,"Central Air",4,3,1,6.88,359600,"Broadus Wood","Jouett","Albemarle","101",32,"Fair",1
2016,1512,"Central Air",3,2,0,2.15,259700,"Broadus Wood","Jouett","Albemarle","101",3,"Average",0
1949,912,"No Central Air",2,1,0,8.621,213300,"Broadus Wood","Jouett","Albemarle","101",70,"Average",0
1967,1347,"No Central Air",2,1,0,2.163,239900,"Broadus Wood","Jouett","Albemarle","101",52,"Average",1
1961,947,"Central Air",3,1,0,2,178700,"Broadus Wood","Jouett","Albemarle","101",58,"Average",0
1989,2388,"Central Air",4,2,1,2.207,300900,"Broadus Wood","Jouett","Albemarle","101",30,"Average",1
1988,1918,"Central Air",3,3,0,0,380300,"Broadus Wood","Jouett","Albemarle","101",31,"Average",1
1754,1000,"No Central Air",3,1,0,2.71,177100,"Broadus Wood","Jouett","Albemarle","101",265,"Fair",0
1972,1008,"No Central Air",3,1,0,4.173,117600,"Broadus Wood","Jouett","Albemarle","101",47,"Poor",0
1976,1560,"No Central Air",4,2,0,2,204700,"Broadus Wood","Jouett","Albemarle","101",43,"Average",1
1974,1392,"No Central Air",3,1,0,2.001,157900,"Broadus Wood","Jouett","Albemarle","101",45,"Fair",0
2007,1344,"Central Air",3,2,0,12.882,256600,"Broadus Wood","Jouett","Albemarle","101",12,"Good",0
1975,1176,"No Central Air",3,1,0,2,131600,"Broadus Wood","Jouett","Albemarle","101",44,"Fair",0
1975,960,"No Central Air",3,1,0,2,135800,"Broadus Wood","Jouett","Albemarle","101",44,"Average",0
1976,960,"Central Air",3,1,0,2,149200,"Broadus Wood","Jouett","Albemarle","101",43,"Average",0
1976,960,"No Central Air",3,1,0,2.095,122300,"Broadus Wood","Jouett","Albemarle","101",43,"Good",0
1975,960,"No Central Air",3,1,0,2.123,143700,"Broadus Wood","Jouett","Albemarle","101",44,"Average",1
1975,960,"No Central Air",3,1,0,2,121900,"Broadus Wood","Jouett","Albemarle","101",44,"Average",0
1978,1559,"Central Air",3,1,1,2.593,202000,"Broadus Wood","Jouett","Albemarle","101",41,"Average",0
1977,2846,"Central Air",5,3,0,3.439,206000,"Broadus Wood","Jouett","Albemarle","101",42,"Average",1
1986,820,"No Central Air",2,1,0,4.967,138800,"Broadus Wood","Jouett","Albemarle","101",33,"Average",1
1994,1004,"Central Air",3,1,1,6.081,221900,"Broadus Wood","Jouett","Albemarle","101",25,"Good",0
2001,1136,"Central Air",3,1,1,2.12,151200,"Broadus Wood","Jouett","Albemarle","101",18,"Average",0
1955,904,"No Central Air",3,2,0,2.28,141900,"Broadus Wood","Jouett","Albemarle","101",64,"Average",1
1993,1014,"Central Air",3,1,0,3.007,168500,"Broadus Wood","Jouett","Albemarle","101",26,"Average",0
1977,1069,"No Central Air",5,1,0,2.5,168100,"Broadus Wood","Jouett","Albemarle","101",42,"Good",0
1999,1456,"Central Air",3,2,0,2.5,162800,"Broadus Wood","Jouett","Albemarle","101",20,"Average",0
1959,1124,"No Central Air",3,1,0,273.46,1393200,"Broadus Wood","Jouett","Albemarle","101",60,"Average",0
1998,1232,"Central Air",3,2,0,2.01,176800,"Broadus Wood","Jouett","Albemarle","101",21,"Average",0
1862,3036,"No Central Air",4,2,0,100.016,299400,"Broadus Wood","Jouett","Albemarle","101",157,"Average",1
1823,5280,"Central Air",3,3,1,134.98,1178300,"Broadus Wood","Jouett","Albemarle","101",196,"Fair",1
2005,1884,"Central Air",4,2,0,5,410600,"Broadus Wood","Jouett","Albemarle","101",14,"Average",1
1980,2488,"Central Air",5,3,0,21,459900,"Broadus Wood","Jouett","Albemarle","101",39,"Average",1
2006,3388,"Central Air",4,3,1,15,736000,"Broadus Wood","Jouett","Albemarle","101",13,"Average",1
2005,2896,"Central Air",4,2,2,10.33,702900,"Broadus Wood","Jouett","Albemarle","101",14,"Average",1
2007,2784,"Central Air",3,2,1,21,689100,"Broadus Wood","Jouett","Albemarle","101",12,"Average",1
2006,3444,"Central Air",5,4,1,7.728,786900,"Broadus Wood","Jouett","Albemarle","101",13,"Average",1
1900,1268,"No Central Air",3,2,0,2.087,208800,"Broadus Wood","Jouett","Albemarle","101",119,"Average",0
1754,1859,"No Central Air",3,2,1,6.617,306700,"Broadus Wood","Jouett","Albemarle","101",265,"Average",1
1956,975,"Central Air",3,1,1,2,166400,"Broadus Wood","Jouett","Albemarle","101",63,"Fair",0
1990,1528,"Central Air",3,2,0,2.04,294200,"Broadus Wood","Jouett","Albemarle","101",29,"Average",0
2006,2606,"No Central Air",2,2,1,29.211,579100,"Broadus Wood","Jouett","Albemarle","101",13,"Average",1
1961,2349,"Central Air",3,2,0,3.685,296300,"Broadus Wood","Jouett","Albemarle","101",58,"Fair",1
